# Total entries: 483
# Partitions: world_overview / numerical_design / character_detail / region_detail / var_update
# Format: UID | comment | content_preview(100chars)

# BATCH 2/5: entries 107-212

193183|[DLC][扩展][汐海妖精]种族-汐海妖精(△一串-水母触手头发的水母生物)|{{setvar::汐海妖精::
   - 汐海妖精: 寿命与水源共生 / 特质: 水母发触手(主要感知器官), 浮空游动, 缺水体型极度皱缩(可逆), 触须带生物静电 / 居所: 索伦蒂斯沿海, 碎
198170|命定系统-艾莉亚核心(by_那什么阿法)|<他者之眼> 他者之眼:   定义: 非阿斯塔利亚诸神之物，源自虚海无数位面中悠远注视着Participant与<user>前世今生所有的视线与感知的集合体，在<user>故事开始时，因为某个“意外”
203966|[奥古斯提姆帝国]|--- 势力-奥古斯提姆帝国:   概览:     定位: 统治大陆东部平原的人类霸主,中央集权行省制,是当前实力最强的人类国家     标识: 双头狮鹫徽章,金色与深红色     首都: 艾瑟嘉德 
205484|[势力概览]|--- 超级霸权:   - 奥古斯提姆帝国: 东部平原的人类霸主 / 核心: 中央集权行省制 / 实力: 人类最强军事国家   - 兽族联盟-卡拉什利亚斯: 无尽风痕草原的游牧霸权联盟 / 核心: 崇
211554|[瓦伦蒂亚-中城区-万物集市(快乐柠萌茶)]|---     瓦伦蒂亚-万物集市:       概述: 地上交易低风险物品(书籍、武器、装备、魔宠、炼金产物等)，地下交易高风险物品(奴隶、魔物、异界造物等);各族冒险者摆摊或开店，城卫军巡逻维持秩
211970|[诺斯加德联盟-城镇-琥珀加德-城外农郭]|    城外农郭: /       城墙以外、金穗河中下游两岸的广阔农业腹地       初犁田位于城西门外，是全公国最具象征意义的一块耕地       马政司牧场位于城西南约半日路程处，金穗河中游一
212184|➡️组织开始|<组织>
215789|[DLC][角色][幽露]幽露(仰望星空-史莱姆少女,活跃于瓦伦蒂亚和无尽雨林)|--- 幽露:   基本信息:     称号: 蚀心糖衣     年龄: 外表16岁(实际不详)     种族: 高智慧拟态史莱姆(粉金色/第四层级/LV15)     阵营: 混乱中立     标签
216489|➡️快捷功能开始|
219027|[兽族联盟-蝾螈王朝-龙渊京简易版本(快乐柠萌茶)]|--- 蝾螈王朝-龙渊京:   标识:     位置: 天镜湖湖心岛     规模: 首都城市     人口构成: 蝾螈族70% / 鳄/鱼族10% / 其他兽族10% / 精灵8% / 其他2%  
225778|[DLC][扩展][神秘使扩展]施法与法杖|施法与法杖:   定义: 法杖是神秘使施法的核心工具，用于吸收、储存、引导和释放灵气    法杖构成:   - 杖柄: 由木材制成，主要用于吸收和储存灵气，其材质和工艺决定了法杖的【灵气容量】   -
227341|[DLC][扩展][黑角民]种族-黑角民(那什么阿法-羊族亚种/部分返祖,恶魔特征,极度禁欲)|{{setvar::黑角民::   - 黑角民: 寿命50-60年 / 羊族亚种/部分返祖(恶魔特征)/极度禁欲/稀少 / 居: 各地山脉隐居}} --- # 黑角民 生物分类: 智慧生物-亚人-兽族
227353|[诺斯加德联盟-地块-霜叶之森]|霜叶之森:   概览: /     联盟西南部最大的连片原始森林，乌尔芬公国的领地，沿碎冕冰脊南段东麓展开     林冠之下终年弥漫着松脂与冷苔的气息，铁木巨干直径逾数米，阳光被层层滤过后在地面投下永
231425|[奥古斯提姆帝国-暮林城(快乐柠萌茶)]|--- 暮林城:   位置: 奥古斯提姆帝国-红丘省   规模: 大型城市   人口构成: 人类80%/兽族5%(商品/奴隶)/矮人/龙裔4%/精灵5%(旅客)   环境: 红松林环绕的城市，建筑多采
234696|[无尽树海-臭鱼窝]|臭鱼窝:   位置: 无尽树海-浅层   环境: 诺瓦尔河河湾旁的一处浅滩和林地，有多种两栖野兽和鱼人   概况: 树海浅层，鱼人领地，臭鱼窝是冒险者对这儿的俗称   地形: 宽阔巨河，鱼人堤坝，淤泥
238379|[DLC][扩展][精灵扩展-眷蕊精灵]种族-眷蕊精灵(雪风-新增精灵亚种：眷蕊精灵-恋爱脑精灵)|{{setvar::眷蕊精灵::  - 眷蕊精灵: 森精灵分支 / 特质: 太阳穴伴生花, 天生药师, 奉行绝对伴侣誓约(花瓣之誓), 恋爱后极度腹黑护食(缠心精灵) / 居: 翡翠之心林地}} --
239670|[诺斯加德联盟-城镇-霜镜港-造船工业区]|    造船工业区: /       峡湾西岸与湾底的工业带，大船坞群、铁木备料场与各类配套工坊密集分布       铁木原木经凛风渡渡轮或沿海驳船运抵后，在备料场完成干燥、切割与防腐处理，再送入船坞
245733|[冒险区域-悲鸣沼泽]|悲鸣沼泽:   类型: 大型冒险区域/亡灵污染沼泽   概况:     位置: 大陆最南端     面积: 约160万平方公里     原貌: 本是诺瓦尔河水系滋养下的广阔丰茂泽国   历史成因:  
246323|[无尽树海-龙骨丘陵]|龙骨丘陵:   位置: 无尽树海-中层   环境: 以多年前古龙尸体为骨架，被植被缠绕着，搭建起来的丘陵群系   概况: 树海中层，第一次异神战争中死去的一名古龙葬身于此处，让这儿的生态环境异常发达 
246370|➡️势力结束|</势力>
247252|[诺斯加德联盟-分割线-重要家族与集团]|#重要家族与集团
248050|[弗洛洛角色卡DLC(彼岸花开局必开/作者十七）]|<弗洛洛角色概览>  人物：弗洛洛 -她并非这个世界的人，而是外界的来客（鸣潮世界）  外貌：及腰灰绿色双马尾，右眼眼瞳如绽放的彼岸花蕊，左眼眼瞳如银灰色的水晶，肤色苍白 身高172cm，身形优雅，舞
250171|[诺斯加德联盟-城镇-白港]|白港:   地点类别: 港口城市   管辖势力: 埃吉尔海德公国（霜风商会联盟）   概览: /     联盟最北端的常设港口与外苍白海北段唯一的大型补给基地，坐落于风切半岛北端西海岸一处被玄武岩崖壁
250597|[诺斯加德联盟-维斯格拉德公国]|维斯格拉德公国:   首府: 挽歌堡   领土:     核心领土: 长夜之境全境     边境防区: 碎冕冰脊北段、永夜长垣     海域辖区: 外苍白海西部沿岸   统治者:     家族: 维斯
252634|[边陲之国-迷雾森林]|  迷雾森林:     标识:       位置: 悲叹之城-城中废墟森林(迷雾沼泽)     环境:       被浓厚魔法迷雾笼罩的枯败森林，能见度极低，遍布发光的诡异菌类和静止的水潭      
254543|[边陲之国-都城禁区]|  都城禁区:     标识:       位置: 王国都城-都城最深处被封印的实验室     环境:       结合了魔法与早期机械技术的实验室，布满了诡异的培养罐、发光的符文管道和失控的能量流 
256510|[萨赫拉联邦-地理与文化]|  地理与文化:     地理与环境:       气候与人文: 位于大陆南方的赤金沙海，气候酷热干旱。绿洲周围文明林立，工程学与炼金术高度发达       文化风格: 波斯阿拉伯文化       区
256874|[mvu_update]边陲之国-莉莉变量更新规则|<%_ { _%> <%_   // 读取莉莉当前变量   const lilyData = getMessageVar('stat_data.事件.莉莉', { defaults: {} });  
257619|[萨赫拉联邦]|--- 势力-萨赫拉联邦:   概览:     定位: 位于大陆南方赤金沙海的独立城邦文明圈,以非魔法科技为主,建立在奴隶制上的商业城邦     标识: 黄金太阳旗帜,金色与绿色     首都: 阿兹
258341|[DLC][扩展][>角色生成]|<%_ { _%> <%_ // 获取自选清凉度变量 (0: 硬核, 1: 轻凉, 2: NSFW) const level = getMessageVar('date.清凉度') // 1;  //
265660|[金狮商会]|--- # 金狮商会 势力标识: 咆哮的金色狮子头像 总部: 索伦蒂斯王国·银帆城 (设有总交易所、结算所、理事会大厅) 核心信条: "黄金所至，商路通达"  核心策略:   利润至上: 视道德为成本
